doc,div,type
PV1982-01-05,div1,seance
PV1982-01-05,div2,ouverture
PV1982-01-05,div3,membrePresent
PV1982-01-05,div3,ordreDuJour
PV1982-01-05,div2,question
PV1982-01-05,div3,introduction
PV1982-01-05,div3,discussion
PV1982-01-05,div4,vote
PV1982-02-11,div1,seance
PV1982-02-11,div2,ouverture
PV1982-02-11,div3,membrePresent
PV1982-02-11,div3,ordreDuJour
PV1982-02-11,div2,question
PV1982-02-11,div3,introduction
PV1982-02-11,div3,discussion
PV1982-02-11,div4,vote
PV1982-02-18-23,div1,seance
PV1982-02-18-23,div2,ouverture
PV1982-02-18-23,div3,membrePresent
PV1982-02-18-23,div3,ordreDuJour
PV1982-02-18-23,div2,question
PV1982-02-18-23,div3,introduction
PV1982-02-18-23,div3,discussion
PV1982-02-18-23,div4,vote
PV1982-06-28,div1,seance
PV1982-06-28,div2,ouverture
PV1982-06-28,div3,membrePresent
PV1982-06-28,div3,ordreDuJour
PV1982-06-28,div2,question
PV1982-06-28,div3,introduction
PV1982-06-28,div3,discussion
PV1982-06-28,div4,vote
PV1982-07-27,div1,seance
PV1982-07-27,div2,ouverture
PV1982-07-27,div3,membrePresent
PV1982-07-27,div3,divers
PV1982-07-27,div3,ordreDuJour
PV1982-07-27,div2,question
PV1982-07-27,div3,introduction
PV1982-07-27,div3,discussion
PV1982-07-27,div4,vote
PV1982-07-27,div3,divers
PV1982-07-27,div2,question
PV1982-07-27,div3,introduction
PV1982-07-27,div3,discussion
PV1982-07-27,div4,vote
PV1982-07-30,div1,seance
PV1982-07-30,div2,ouverture
PV1982-07-30,div3,membrePresent
PV1982-07-30,div3,ordreDuJour
PV1982-07-30,div2,question
PV1982-07-30,div3,introduction
PV1982-07-30,div2,question
PV1982-07-30,div3,introduction
PV1982-07-30,div3,discussion
PV1982-07-30,div4,vote
PV1982-10-22,div1,seance
PV1982-10-22,div2,ouverture
PV1982-10-22,div3,membrePresent
PV1982-10-22,div3,ordreDuJour
PV1982-10-22,div2,question
PV1982-10-22,div3,introduction
PV1982-10-22,div3,discussion
PV1982-10-22,div4,vote
PV1982-10-22,div4,vote
PV1982-10-22,div4,vote
PV1982-11-10,div1,seance
PV1982-11-10,div2,ouverture
PV1982-11-10,div3,membrePresent
PV1982-11-10,div3,ordreDuJour
PV1982-11-10,div2,question
PV1982-11-10,div3,introduction
PV1982-11-10,div3,discussion
PV1982-11-10,div4,vote
PV1982-11-10,div2,question
PV1982-11-10,div3,introduction
PV1982-11-10,div3,discussion
PV1982-11-10,div4,vote
PV1982-11-18,div1,seance
PV1982-11-18,div2,ouverture
PV1982-11-18,div3,membrePresent
PV1982-11-18,div3,ordreDuJour
PV1982-11-18,div2,question
PV1982-11-18,div3,introduction
PV1982-11-18,div3,discussion
PV1982-11-18,div4,vote
PV1982-11-18,div2,question
PV1982-11-18,div3,introduction
PV1982-11-18,div3,discussion
PV1982-11-18,div4,vote
PV1982-11-18,div4,vote
PV1982-11-18,div4,vote
PV1982-11-26,div1,seance
PV1982-11-26,div2,ouverture
PV1982-11-26,div3,membrePresent
PV1982-11-26,div3,ordreDuJour
PV1982-11-26,div2,question
PV1982-11-26,div3,introduction
PV1982-11-26,div3,discussion
PV1982-11-26,div4,vote
PV1982-12-29,div1,seance
PV1982-12-29,div2,ouverture
PV1982-12-29,div3,membrePresent
PV1982-12-29,div3,ordreDuJour
PV1982-12-29,div2,question
PV1982-12-29,div3,discussion
PV1982-12-29,div4,vote
PV1982-12-29,div3,discussion
PV1982-12-29,div4,vote
PV1982-12-29,div4,
PV1982-12-29,div3,discussion
PV1982-12-29,div4,vote
PV1982-12-29,div3,discussion
PV1982-12-29,div4,vote
PV1982-12-29,div3,discussion
PV1982-12-29,div4,vote
PV1982-12-29,div3,discussion
PV1982-12-29,div4,vote
